# Time-averaged data for fix printcond
# TimeStep v_totalcondx v_totalcondy v_totalcondz
282 -0.00253194 -0.00579218 0.00495333
284 -0.00259985 -0.00596294 0.00538916
286 -0.00263637 -0.00610188 0.00587441
288 -0.00265375 -0.00622632 0.00639666
290 -0.00267936 -0.00633225 0.00692442
292 -0.00273907 -0.00639703 0.00742146
294 -0.0028377 -0.00641085 0.00786221
296 -0.00296097 -0.00638465 0.00823275
298 -0.00308968 -0.0063298 0.00852121
300 -0.00320735 -0.0062487 0.00871834
302 -0.0032993 -0.0061412 0.00882351
304 -0.0033523 -0.00601103 0.00884409
306 -0.00335855 -0.00586885 0.0087921
308 -0.00331617 -0.00572736 0.00867981
310 -0.00322923 -0.00559704 0.00851613
312 -0.00310592 -0.00548403 0.00830587
314 -0.00295582 -0.00538875 0.0080532
316 -0.00278834 -0.00530725 0.00776305
318 -0.00261242 -0.00523305 0.00744232
320 -0.00243767 -0.0051584 0.00710015
322 -0.00227126 -0.00507582 0.00674669
324 -0.00212015 -0.0049822 0.00639374
326 -0.00198805 -0.00487817 0.00605576
328 -0.00187491 -0.00476844 0.00575316
330 -0.00177579 -0.00465859 0.00550832
332 -0.00168263 -0.00455475 0.00533819
334 -0.00158774 -0.00446057 0.00524232
336 -0.00148229 -0.00437791 0.00519919
338 -0.00135419 -0.00431272 0.00517784
340 -0.00119077 -0.00427333 0.00515066
342 -0.000988793 -0.00426224 0.00510039
344 -0.000760777 -0.00427101 0.00501884
346 -0.000524422 -0.00428597 0.0048984
348 -0.000292759 -0.00429534 0.00472824
350 -8.06263e-05 -0.00428703 0.00450555
352 8.58038e-05 -0.00424375 0.00425038
354 0.000184226 -0.00415182 0.00398659
356 0.00021053 -0.00400743 0.00372975
358 0.000174908 -0.00381559 0.00348653
360 9.28656e-05 -0.00358588 0.00325869
362 -1.89919e-05 -0.00332987 0.00304606
364 -0.000144121 -0.00305973 0.00284923
366 -0.000271255 -0.00278842 0.00266967
368 -0.000389135 -0.00252728 0.00251368
370 -0.000489081 -0.00228575 0.00238883
372 -0.000565939 -0.00207016 0.00230015
374 -0.000618325 -0.00188313 0.00224741
376 -0.000648254 -0.00172319 0.00222653
378 -0.000659286 -0.00158587 0.00223185
380 -0.000649992 -0.00146894 0.00224889
382 -0.000618484 -0.001369 0.00226606
384 -0.000560175 -0.0012839 0.00227243
386 -0.000468806 -0.00121275 0.0022585
388 -0.000338486 -0.00115524 0.00221659
390 -0.000165889 -0.00110968 0.00214085
392 4.8524e-05 -0.0010717 0.00202693
394 0.000303108 -0.00103901 0.0018723
396 0.000595603 -0.00100692 0.0016754
398 0.000920754 -0.000968432 0.00144467
400 0.00127541 -0.0009197 0.00118657
402 0.00165433 -0.000858322 0.000908623
404 0.00204822 -0.000782073 0.000617433
406 0.00244229 -0.000688489 0.000318545
408 0.00281682 -0.0005745 1.64854e-05
410 0.00314918 -0.000438133 -0.000283898
412 0.00341844 -0.000282025 -0.000575926
414 0.00361069 -0.000116349 -0.000850491
416 0.0037232 4.29762e-05 -0.00109861
418 0.00376452 0.000181547 -0.00131596
420 0.00375045 0.000293202 -0.00150687
422 0.00369817 0.000380584 -0.0016844
424 0.00362213 0.000450962 -0.00186598
426 0.00353311 0.000512228 -0.00206731
428 0.00343958 0.000571241 -0.00229747
430 0.00334841 0.000633981 -0.00256074
432 0.00326417 0.000706446 -0.00285876
434 0.00318881 0.000794018 -0.0031917
436 0.003121 0.000897153 -0.00355395
438 0.00305942 0.00101531 -0.00393733
440 0.00300223 0.00114439 -0.00433051
442 0.00294761 0.00127723 -0.00472104
444 0.00289448 0.00140446 -0.00509612
446 0.00284304 0.00151507 -0.00544353
448 0.00279378 0.00159693 -0.0057529
450 0.00274729 0.00163814 -0.00601617
452 0.00270365 0.00162936 -0.00622912
454 0.00266232 0.00156727 -0.00639156
456 0.00262196 0.00145621 -0.00650579
458 0.00257998 0.00130733 -0.00657517
460 0.00253326 0.00113519 -0.00660355
462 0.00248089 0.000952861 -0.00659442
464 0.00242499 0.000771064 -0.00655102
466 0.00236634 0.000597644 -0.00647796
468 0.00231177 0.000438857 -0.00637673
470 0.00227217 0.000300012 -0.00624439
472 0.00226179 0.000185298 -0.00607647
474 0.00229787 9.83447e-05 -0.00587045
476 0.00239962 4.52732e-05 -0.00562704
478 0.00258055 3.80515e-05 -0.00535264
480 0.00283534 8.78919e-05 -0.00505833
482 0.00313563 0.000191184 -0.00475281
484 0.00344441 0.000326815 -0.00443773
486 0.0037363 0.000468041 -0.00411002
488 0.00400468 0.000593856 -0.0037669
490 0.00425556 0.000691296 -0.00340951
492 0.00449846 0.000752961 -0.00304432
494 0.00474045 0.000775174 -0.0026833
496 0.00498275 0.000758178 -0.00234324
498 0.00522056 0.000706261 -0.00204362
500 0.00544682 0.000627025 -0.0017992
502 0.00565721 0.000529359 -0.00161324
