Box size: max: 28.496098 min: 3.5039283 in Ang
Timestep: 0.5
T: 673
Chunk 1 of size 2ps
Start time: 2.0ps
Lag    Lag (in ps)     Auto-correlation     Integral(acf)        Conductivity
122      0.061          4.082708629742679e-05    0.0037990379287566223    2.2408920968641626
124      0.062          4.02502446022108e-05    0.003839576594206441    2.2648041442633975
126      0.063          3.968245033746012e-05    0.0038795429416762766    2.2883786054467827
128      0.064          3.9126264728111094e-05    0.003918947299209063    2.3116215724908447
130      0.065          3.858382580456275e-05    0.0039578023444753994    2.3345405234182786
132      0.066          3.805667756436666e-05    0.003996122596159864    2.357144022188207
134      0.067          3.754569532071616e-05    0.004033923782602406    2.379441346284391
136      0.068          3.705109190102982e-05    0.0040712221762132786    2.4014420941146946
138      0.069          3.6572480475078345e-05    0.004108033962401333    2.423155812768528
140      0.07          3.610897209581154e-05    0.004144374688686778    2.4445916730717205
142      0.071          3.565928511602502e-05    0.004180258817292696    2.4657582056791423
144      0.072          3.5221845616635485e-05    0.004215699382659026    2.486663099056661
146      0.073          3.479489647325985e-05    0.004250707753703974    2.5073130592491846
148      0.074          3.4376652310267065e-05    0.004285293528095737    2.5277137475160156
150      0.075          3.396550366818432e-05    0.004319464606084963    2.547869823881498
152      0.076          3.3560204773829706e-05    0.00435322746030597    2.567785106279375
154      0.077          3.3159969435668086e-05    0.004386587547410719    2.5874628133582824
156      0.078          3.27644653302279e-05    0.004419549764793667    2.606905833884466
158      0.079          3.2373725316473674e-05    0.004452118860117017    2.626116968303437
160      0.08          3.198801587083456e-05    0.004484299730710671    2.645099105343361
162      0.081          3.1607726579458956e-05    0.004516097601935818    2.6638553272242143
164      0.082          3.1233299963667834e-05    0.004547518115207381    2.6823889615785057
166      0.083          3.08652121693566e-05    0.004578567371273894    2.7007036069802517
168      0.084          3.0503991666032943e-05    0.004609251973191589    2.718803158293573
170      0.085          3.0150262151206888e-05    0.004639579100100209    2.7366918501899358
172      0.086          2.9804776993786725e-05    0.0046695566196727056    2.754374323477478
174      0.087          2.9468420993638767e-05    0.004699193218666418    2.771855702107641
176      0.088          2.914219336602021e-05    0.004728498525846248    2.789141665682358
178      0.089          2.8827146887338193e-05    0.004757483195972927    2.8062384989951927
180      0.09          2.8524328171123085e-05    0.004786158933502158    2.823153106010458
182      0.091          2.823471218071224e-05    0.004814538453678075    2.839892986913891
184      0.092          2.795913965801222e-05    0.004842635379597437    2.856466177395167
186      0.093          2.7698259322062824e-05    0.004870464079087475    2.8728811524290285
188      0.094          2.745246607765751e-05    0.004898039441787335    2.8891466947850386
190      0.095          2.7221869339127038e-05    0.004925376609495727    2.9052717359710414
192      0.096          2.7006324989391472e-05    0.004952490706659987    2.921265197260037
194      0.097          2.6805516447324933e-05    0.004979396627378345    2.937135864051815
196      0.098          2.6619045328735855e-05    0.005006108908266376    2.9528923108822354
198      0.099          2.6446456977727845e-05    0.0050326416594196075    2.968542860700989
200      0.1          2.6287260263401445e-05    0.005059008518040172    2.9840955575179158
202      0.101          2.6140938800325524e-05    0.0050852226175720355    2.9995581481971803
204      0.102          2.6006953880511872e-05    0.0051112965639124545    3.0149380684254123
206      0.103          2.5884735494243764e-05    0.005137242408599832    3.0302424268963577
208      0.104          2.577366984301515e-05    0.005163071611268462    3.0454779831645156
210      0.105          2.5673098736774144e-05    0.005188794995558356    3.060651121638205
212      0.106          2.5582328818662064e-05    0.005214422709336074    3.075767828115516
214      0.107          2.550064671650206e-05    0.005239964197103656    3.0908336735094992
216      0.108          2.5427344236871984e-05    0.005265428192580343    3.10585380947244
218      0.109          2.5361755786622725e-05    0.005290822742592091    3.1208329824872703
220      0.11          2.530328992139303e-05    0.005316155265446099    3.135775568300241
222      0.111          2.5251439837048665e-05    0.00534143263032532    3.1506856187523926
224      0.112          2.5205741714260316e-05    0.005366661221100974    3.165566899419861
226      0.113          2.5165752228913853e-05    0.005391846968072562    3.1804229083359714
228      0.114          2.5131059845435994e-05    0.005416995374109737    3.195256891411229
230      0.115          2.510131996495906e-05    0.005442111564014935    3.210071871550245
232      0.116          2.5076287707904516e-05    0.005467200367851367    3.224870697803405
234      0.117          2.505583774442154e-05    0.005492266430577529    3.2396561100356394
236      0.118          2.5039982351073495e-05    0.005517314340625277    3.254430814769196
238      0.119          2.5028882647985003e-05    0.005542348773124806    3.2691975696660167
240      0.12          2.5022826200386116e-05    0.00556737462754899    3.2839592647183165
242      0.121          2.502215846410238e-05    0.005592397119881234    3.298718976614513
244      0.122          2.502710232845667e-05    0.005617421750277514    3.313479949664425
246      0.123          2.5037489302682492e-05    0.005642454046093083    3.328245444221578
248      0.124          2.5053158336635346e-05    0.005667499369912742    3.3430186234483634
250      0.125          2.5073910286632197e-05    0.005692562904224376    3.3578025442756045
252      0.126          2.509910061339749e-05    0.005717649409674391    3.3726000148076447
254      0.127          2.512774476602789e-05    0.005742762832364103    3.3874133626830645
256      0.128          2.5158653398992673e-05    0.005767906031446615    3.4022442743955787
258      0.129          2.5190596045866212e-05    0.0057930806561690435    3.417093722766439
260      0.13          2.522248661001559e-05    0.005818287197496985    3.4319619973955238
262      0.131          2.52535458832964e-05    0.005843525213743641    3.4468488377504376
264      0.132          2.528344874763718e-05    0.005868793711059108    3.461753657601077
266      0.133          2.5312483391230853e-05    0.005894091677128541    3.4766758598256504
268      0.134          2.5341614669056366e-05    0.005919418726158685    3.4916152168610024
270      0.135          2.5372372536212745e-05    0.005944775719761319    3.506572236935549
272      0.136          2.5406529232222408e-05    0.005970165170645537    3.521548402190311
274      0.137          2.5445728640251228e-05    0.005995591299581774    3.5365462022795846
276      0.138          2.549127884896878e-05    0.006021059803326385    3.551568997479456
278      0.139          2.5544122661656926e-05    0.006046577504081697    3.5666208119190768
280      0.14          2.5604863662902687e-05    0.006072151997243977    3.5817061258020617
282      0.141          2.5673751851306334e-05    0.006097791305001082    3.59682967107837
284      0.142          2.575063995947006e-05    0.00612350350090647    3.61199620999636
286      0.143          2.583497009726452e-05    0.006149296305934837    3.6272102968330615
288      0.144          2.5925784898874492e-05    0.006175176683432906    3.642476038972747
290      0.145          2.602186290643413e-05    0.00620115050733556    3.6577969012016345
292      0.146          2.6122117847255593e-05    0.006227222497712405    3.6731756676895264
294      0.147          2.6225212892360137e-05    0.006253396163082212    3.6886144079635312
296      0.148          2.632979461071689e-05    0.006279673666833751    3.7041143981153577
298      0.149          2.6434709177248415e-05    0.006306055918727734    3.719676174774443
300      0.15          2.6539062603473374e-05    0.006332542804618095    3.735299670610843
302      0.151          2.6642207525642565e-05    0.0063591334396826535    3.7509843637053044
304      0.152          2.674369922107655e-05    0.006385826393056012    3.766729410050736
306      0.153          2.6843254558789406e-05    0.006412619869945946    3.7825337509749692
308      0.154          2.6940725242598252e-05    0.006439511859846639    3.7983962005655
310      0.155          2.7036083432707574e-05    0.0064665002641842925    3.814315520962234
312      0.156          2.712938958768546e-05    0.0064935830006944886    3.8302904839252956
314      0.157          2.722081060544392e-05    0.006520758100791054    3.8463199282688048
316      0.158          2.7310676587446636e-05    0.006548023844387499    3.8624028393863563
318      0.159          2.7399540429433355e-05    0.006575378952895939    3.878538463092932
320      0.16          2.7488191755368476e-05    0.00660282281898834    3.894726441151363
322      0.161          2.757757562764747e-05    0.006630355702679848    3.9109669269336074
324      0.162          2.766869277372818e-05    0.0066579788368805355    3.92726064768127
326      0.163          2.776259176062693e-05    0.0066856944791477135    3.9436089350321044
328      0.164          2.786037393358915e-05    0.006713505961994821    3.960013754695107
330      0.165          2.7963123354342874e-05    0.006741417710638787    3.9764777169189305
332      0.166          2.8071811128889573e-05    0.006769435177880404    3.993004038080572
334      0.167          2.8187224820641148e-05    0.006797564695855169    4.009596453239449
336      0.168          2.83098957310096e-05    0.006825813256130994    4.026259086426322
338      0.169          2.8440049431281082e-05    0.006854188228712139    4.042996284895576
340      0.17          2.857760288424406e-05    0.006882697054869902    4.059812437939016
342      0.171          2.8722191897016832e-05    0.006911346952260532    4.076711802947369
344      0.172          2.887321064063482e-05    0.006940144653529358    4.093698351223892
